Salario,Empresa,Comuna,Región,Cargo,Descripción
NaN,Progestion Chile,Maipú,Metropolitana,Reponedor@s domingos ruta 5 locales Maipú/08:00 a 16:00 /$25.000 liquido por día,"Importante empresa de perfumería, aseo y limpieza necesita un reponedor Part time domingos ruta Maipú 5 locales.  Ruta a realizar: LID061 - RAMON FREIRE 1790 MAIPU LID174 - ISABEL RIQUELME SUR S/N UNI045 - SEGUNDA TRANSVERSAL 4090 UNI980 - AV EL ROSAL/ ESQ AMERICO VESPUCIO MAIPU LID075 - AV PAJARITOS 4500 MAIPU  Funciones: Ordenar, Reponer y ordenar stock de productos  Jornada Laboral : 08:00 a 16:00  Renta :25.000 liquido por día  Requisitos: Contar con experiencia en reposición ruta supermercados. Contar con disponibilidad para trabajar este domingo. Extranjeros, contar con cédula de identidad vigente.Si estas interesado y cumples con los requisitos registrese directamente a nuestra plataforma interna   (copia y pega link)  //gp.bmspro.cl/registro/16983/email¡Postula con nosotros!.-Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Edad: entre 20 y 40 años "
NaN,Progestion Chile,San Bernardo,Metropolitana,Reponedor Part time de días domingos y festivos / San Bernardo Local Fijo,"Importante empresa de perfumería, aseo y limpieza necesita un reponedor part time de domingos y festivos para la comuna de San Bernardo.    Locales a cubrir:  LID082 - SAN JOSE 69      Jornada Laboral :  DOM de 08:00 a 14:00 hrs    Renta : $63.000 líquido mensual    Funciones:  Ordenar, Reponer y ordenar stock de productos    Requisitos:  Contar con experiencia en reposición ruta en supermercados.  Contar con disponibilidad inmediata para trabajar    ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 20 y 50 años Palabras clave: replenisher, surtidor, permanent, fijo"
800000,ACTIVOS CHILE,Huechuraba,Metropolitana,Asistente Contable (Cuentas por Pagar) Huechuraba,"Importante empresa del Rubro de cerámica y grifería se encuentra en búsqueda de un Asistente contable, para el área de cuentas por pagar, será responsable de supervisar, gestionar y ejecutar los diversos procesos del área. Funciones:  - Gestionar el proceso de facturación (Cuentas por Pagar) pagos a proveedores.  - Realizar análisis financieros y preparar informes periódicos.  - Garantizar la precisión y oportunidad de los registros contables.  - Gestionar el cierre de mes.  Requisitos:  - Estar titulado en Contabilidad - Experiencia mínima de 1 año  - Manejo de Microsoft Excel, software de contabilidad idealmente (SAP)  y herramientas de análisis de datos.  - Conocimiento en Business One (Excluyente) - Conocimientos en facturación y contabilidad.  - Capacidad para trabajar de forma remota y presencial.  - Habilidades de comunicación efectiva y trabajo en equipo.  -Jornada laboral presencial Horario administrativo de 8:30 a 18:00pm 17:00pm  - Renta $800.000 pesos líquidos. En el marco legal de la Ley N.º 21.015, Activos Chile somos una empresa comprometida con la inclusión, diversidad y no discriminación, promoviendo la diversidad en el lugar de trabajo, implementando acciones que favorezcan la contratación de personas permitiendo el completo desarrollo de su potencial.  Sí cumples con los requisitos postula con nosotros, valoramos y respetamos a cada individuo y creemos que la diversidad enriquece nuestra cultura y nos hace más fuertes como equipo. Gracias por tu interés en esta vacante. Esperamos recibir tu postulación y así brindarte la oportunidad de formar parte de nuestro equipo de trabajo. La empresa se comunicará únicamente con los candidatos seleccionados para una entrevista o ingreso. ¡Te esperamos!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia "
NaN,Manpower Chile,Santiago Centro,Metropolitana,Soporte en Sitio TI,"Empresa del rubro de Tecnología requiere para su equipo de trabajo, un profesional ténico en informática o carreras afines Analista de soporte técnico con disponibilidad inmediata. Se requiere que cuentes con minimo 2 años de experiencia en el cargo realizando atención a clientes, brindando asistencia y soporte técnico a usuarios, respondiendo preguntas y resolviendo problemas en tiempo real. Identificar y analizar problemas técnicos en hardware, software y redes, proporcionar soluciones efectivas. Instalación y configuración de Software, resolución de problemas de Hardware, gestión de cuentas de usuario, mantenimiento preventivo Soporte remoto y presencial entre otrios. Se labora en Santiago para brindar soporte Presencial. Contrato fijo y luego indefinido Beneficios de la compañía Labor 100% presencial.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Palabras clave: apoyo, support, soporte"
200000,RUTEACHILE SPA,Providencia,Metropolitana,Community Manager - Publicación en redes sociales,"Buscamos Community Manager para RuteaChile   ¿Eres un apasionado de las redes sociales y el turismo?  En RuteaChile, buscamos un Community Manager creativo y proactivo para llevar nuestra comunidad digital al siguiente nivel.   Requisitos: • Experiencia en gestión de redes sociales (Instagram, Facebook y otras). • Creación de contenido atractivo y estrategias de engagement. • Conocimiento en herramientas como Canva, Meta Business Suite y planificación de contenido. • Interés o experiencia en el sector turismo.  Si crees que eres la persona indicada, envíame un mensaje o etiqueta a alguien que pueda estar interesado. ¡Nos encantaría conocerte! #CommunityManager #TrabajoRemoto #MarketingDigital #RuteaChile .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica Menos de 1 año de experiencia Palabras clave: smo, social, red, community, lider, jefe, gerente, manager, director, chief, lead, jefatura, regente"
NaN,Progestion Chile,Las condes,Metropolitana,Promotores para marca deportiva / Jornada Parcial Las Condes / Reemplazo hasta el 07 de abril,"Importante marca de ropa y calzado, busca los mejores promotores en grandes tiendas para la comuna de Las Condes.  Jornada: Lun a Dom de 11:00 a 19.00 hrs (3 días libres )  Centro comercial: Parque Arauco  Funciones Velar por la correcta exposición del producto en las tiendas asignadas. Impulsar las ventas de la marca. Captar nuevos clientes y asesorarlos para conseguir una venta en forma óptima. Reportar los indicadores solicitados por su jefatura directa. Verificar el inventario del producto. Mantener stock de productos y presentación de acuerdo. Reponer productos en la sección asignada. Mantener el orden y limpieza de la sección asignada. Establecer buenas relaciones con Supervisor Directo, Jefes de área, vendedores y personal de la tienda en general. Solicita al supervisor material POP (catálogos, stickers, etc.). Entre otras funciones inherentes al cargo.  Requisitos: Experiencia en promociones en tiendas de retail. Tener disponibilidad para trabajar en Las Condes. Habilidades de comunicación escrita y habilidades numéricas, para contar y registrar los niveles de stock. Ser metódico y cuidadoso. Un comportamiento agradable, servicial, ya que el trabajo incluye tareas de servicio de atención al cliente. Buen ojo para la disposición espacial de los productos. Habilidades de negociación. Capacidad de persuasión. Iniciativa. Orientación al logro de resultados.  Postula con nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Edad: entre 25 y 40 años Palabras clave: brand, trademark"
NaN,Progestion Chile,Ñuñoa,Metropolitana,Visitador Medico,"Importante empresa líder en su rubro busca incorporar a su equipo un Visitador Médico responsable de promocionar y brindar asesoramiento técnico/  clínico a profesionales de la salud, así como de garantizar el uso efectivo y seguro de los productos médicos que distribuye la empresa.  Realizar visitas medicas en establecimientos privados y públicos  Su objetivo principal es entrenar a los profesionales de la salud mejorar el bienestar del paciente y asegurar la utilización costo-efectiva de los productos.  Carrera del profesional: 	Visitador medico  Responsabilidades y funciones del puesto:  	Asesoramiento Técnico y Clínico: Proporcionar asesoramiento experto y técnico a los profesionales de la salud sobre la selección, uso y aplicaciones de los productos del negocio médico. 	Capacitación: Aplicar módulos breves de capacitación en terreno para profesionales de la salud, tanto en la teoría como en la práctica, para asegurar un uso adecuado de los productos indicados. 	Visitas a Clientes: Realizar visitas regulares a hospitales, clínicas y consultorios para brindar apoyo técnico, responder preguntas y detectar resolver problemas relacionados con los productos indicados. 	Evaluación de Necesidades: Identificar necesidades específicas de los clientes y proporcionar recomendaciones para la adopción de productos que sean apropiados para cada caso.  	Documentación y Reportes: Mantener un registro de las interacciones con los clientes, incluyendo informes de visita en terreno, capacitaciones y muestras entregadas. Proporcionar informes periódicos al respecto. 	Colaboración Interna: Trabajar en estrecha colaboración con los especialistas clínicos, ventas y marketing, para proporcionar una experiencia integral y satisfactoria a los clientes.  Habilidades técnicas necesarias para el puesto: 	Conocimiento general de la industria de dispositivos médicos.     Ideal si tiene experiencia con medias de compresiónRenta: 1000.000 liquido Si cumples con los requisitos postula con nosotros!!.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: doctor, facultativo, medico"
NaN,Progestion Chile,Quillota,Valparaíso,Gestor Trade Marketing en Terreno /quillota,"Importante empresa con gran presencia a nivel nacional requiere incorporar a su equipo Gestores Trade Marketing para trabajar en terreno. Buscamos personas para gestionar y realizar implementación de material publicitario ligero, muebles de mediano y gran tamaño, actividades de levantamiento de información en diferentes cadenas de canal tradicional y moderno, entre otras funciones propias del cargo. Requisitos del cargo:  Experiencia previa implementando material POP ligero. (deseable)  Experiencia en análisis y levantamiento de información y/o realizando reportaría para el área.  Disponibilidad para trabajar por boletas de honorario (por campaña)  Disponibilidad para movilizarse a los distintos puntos de ventas.  Movilización propia. Si te interesa esta oportunidad laboral postula con nosotros.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Disponibilidad de viajar: Si Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan, comercio, mercadotecnia, marketing, mercadeo, campo, terreno, territorio"
NaN,Atcom,Pudahuel,Metropolitana,Bodeguero Multifuncional Area de Calidad. - Pudahuel,"Bodeguero Multifuncional Área de Calidad.   Ubicación: Boulevard Poniente 900, Bodega 52, Pudahuel   Cargo: Bodeguero Multifuncional   Área: Control de Calidad   Modalidad: Presencial    Se busca un bodeguero multifuncional para integrarse a un equipo de trabajo en el área de control de calidad. El objetivo del cargo es brindar apoyo en diversas tareas dentro de la bodega, asegurando el correcto manejo de productos y la eficiencia en los procesos operativos.    Funciones principales: - Reproceso y maquila de productos   - Inspección de calidad de productos   - Descarga de productos   - Picking   - Apoyo en el manejo de la traspaleta eléctrica   - Orden y limpieza de la bodega   - Otras funciones relacionadas con la operación del área    Requisitos: - Experiencia mínima de seis meses en funciones similares   - Deseable licencia de conducir    Condiciones laborales: - Horario de lunes a jueves de 08:00 a 17:45 horas, viernes de 08:00 a 17:00 horas, con 45 minutos de colación   - Renta líquida de 565.000 pesos, incluyendo colación y movilización.  - Contrato inicial de 30 días, con posibilidad de renovación hasta 90 días y eventual internalización según desempeño y vacantes disponibles   - Posibilidad de crecimiento dentro de la empresa    Beneficios:  - Caja de compensación   - Espacio de comedor para calentar y servir almuerzo    Perfil del candidato: Se busca una persona con capacidad de trabajar bajo presión, organizada, planificada, con buenas habilidades de comunicación y trabajo en equipo. Además, es fundamental que sea proactiva y tenga iniciativa, sin necesidad de esperar instrucciones constantes.    Interesados que cumplan con los requisitos pueden postular al cargo.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: warehouseman, bodeguero, almacenista, polivalente, multiusos, versatil, multifuncion, plurifuncional, multifuntion, polifacetico, zona, area, quality, qa"
NaN,AGtec Servicios Informáticos,Providencia,Metropolitana,Desarrollador Back End Golang TDD,"Estamos en busca de un Desarrollador Back End Golang con experiencia en TDD para incorporarse a nuestro equipo de desarrollo. Buscamos un profesional con un sólido conocimiento en Golang y una experiencia comprobada en el desarrollo de pruebas de unidad y pruebas automatizadas.   Tu capacidad para trabajar con Docker será fundamental para gestionar y desplegar aplicaciones en contenedores. Además, tu experiencia en Java, específicamente en el desarrollo con Spring y la arquitectura de microservicios, es esencial para contribuir al diseño y la implementación de soluciones escalables y robustas.  El rol requiere una combinación de trabajo presencial y remoto, permitiéndote colaborar con un equipo dinámico y comprometido con la excelencia técnica. Tu capacidad para resolver problemas complejos y tu orientación al detalle serán claves para el éxito en este puesto.  Si tienes un historial de proyectos que demuestren tu habilidad en el desarrollo de back end con enfoque en pruebas dirigidas por pruebas (TDD), y te entusiasma la idea de trabajar en un entorno que valora la innovación y la excelencia técnica, podrías ser el candidato ideal para nosotros.  Únete a nosotros y contribuye con tu experiencia y conocimientos para ayudarnos a desarrollar soluciones de alta calidad y a la vanguardia.  Tareas:   - Confección de Apis de servicios online Portal Empresa   - Tomar responsabilidad de punta a punta del ciclo de desarrollo.   - Construcción de aplicaciones confiables y de alto desempeño que mejoren la experiencia de nuestros clientes.   - Desarrollar APIs REST listas para disponibilizar a nuestros proveedores y clientes internos.  Requisitos: - Autonomía para resolver problemas. - Proactividad y Compromiso. - Orientación a resultados. - Habilidad para separar lo importante de lo urgente. - Traducir requerimientos complejos de un negocio cambiante en microservicios, escalables y resilientes. - Base sólida en algoritmos y estructuras de datos. - Experiencia en desarrollo de aplicaciones con alto tráfico y disponibilidad. - Conceptos sólidos y Buenas prácticas de patrones de diseño aplicados e ingeniería de software. - Buenas prácticas de patrones de integración aplicados e ingeniería de software. - Habilidad para diagnosticar problemas tanto en la aplicación como en los equipos en los que ésta se ejecuta. - Por lo menos 5 años de experiencia comprobable en desarrollo de aplicaciones utilizando Java con Spring. - Conocimientos en Git y Maven/Gradle - Experiencia utilizando Docker, Kubernetes, base de datos relacionales y no relaciones. -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 3 años de experiencia Conocimientos: Java, Docker, Spring MVC, Microservicios Palabras clave: developer, programador"
NaN,Atcom,Valparaíso,Valparaíso,Gruero Horquilla Part Time - Valparaíso,"Importante empresa del rubro en materia prima para etiquetas autoadhesivas está en búsqueda de un Operario de Grúa Horquilla Part Time para Placilla  Requisitos: - 1 año de experiencia en plantas productivas - Licencia clase D vigente  Funciones: - Operar equipo Montacarga, cumpliendo con las normas de seguridad exigidas y políticas de la empresa.  - Mantener el orden de los materiales almacenados en las posiciones asignadas en sistema, alineados a buenas prácticas de almacenamiento.  Renta: - $37.000 líquidos diario + pago de horas extras - Bus de acercamiento  Horarios: - Sábados y domingos en turno día de 07:00 a 17:00 hrs (hasta 19:00hrs. concepto horas extras).   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: A partir de 25 años Licencias de conducir: D   "
625000,Grupo Norte Chile - Servicios de Aseo y Outsoursing,Maule,Maule,"Operador de pesaje romanero/ Planta Agroindustrial - San Sebastian, San Rafael","Grupo Norte, empresa de Servicios, requiere para su cliente del rubro del cultivo: OPERADOR DE PESAJE (ROMANERO) para ser responsable de realizar taras y pesajes comerciales de los camiones que entren y salgan de planta, además de hacer entrega de informes y emisión de guías despacho cuando corresponda.   Horario:  - Lunes a Viernes de 08:00 a 17:30 Hrs con 30 min de Colación. - Deben llevar la colación.   - Disponibilidad para realizar turno de noche o mañana (esto depende del cupo que haya en el momento de la entrevista)  Renta: 625.000 Liquido + variable (Bono por termino de faena)  Beneficios:  -Uniforme  Funciones del cargo:  -	Cotejar la información del transportista y de la carga en recepción y/o despacho, de acuerdo con el procedimiento de transferencia de carga. -	Realizar el pesaje del vehículo y/o carga, según procedimientos de transferencia de carga. -	Registrar información electrónica del pesaje de camiones, según Procedimiento. -	Informar anomalías o fallas del Sistema de Gestión Integral de Pesaje (SMGIP) o del equipo computacional.    Requisitos:  -	Enseñanza media completa -	Experiencia de al menos 6 meses como Romanero -	Experiencia laboral como Romanero y/o Conocimientos en Sistema De Pesaje.  -	Informática nivel Intermedio (Excel, Word, Paquete Microsoft)  -	Deseable conocimiento en sistema SAP u otro Sistema de Gestión ERP. -      Movilización Propia   Postula con nosotros! .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: operator, operario, operator, piso, vivienda, inmobiliario, inmueble, condominio, edificio, planta, floor"
NaN,FULLCOVER TELECOMUNICACIONES SPA,Rancagua,Libertador B. O Higgins,Técnico Electrónico - Telecomunicaciones,"En FULLCOVER TLC una de las empresas líderes en el sector de telecomunicaciones, estamos en búsqueda de Técnicos en Telecomunicaciones apasionados y altamente capacitados que deseen llevar su carrera al siguiente nivel. Si eres un profesional con un sólido conocimiento en la instalación y mantenimiento de sistemas de comunicación. ¡esta es tu oportunidad!    Funciones y Responsabilidad Requeridas:  - Conocimiento en mantenimiento de equipos. - Responsabilidad con las herramientas. - Instalación y Configuración de equipos. - Diagnosticar y resolver problemas técnicos en el menor tiempo posible. - Habilidades Técnicas y Blandas. - Cumplir con la normativa de seguridad. - Trabajo en Equipo  .   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. Menos de 1 año de experiencia Edad: entre 23 y 40 años Conocimientos: Adaptación al cambio, Atención al cliente, Tecnología, Trabajo en equipo, Electrónica, Digitalización de documentos Licencias de conducir: B   Disponibilidad de viajar: Si Palabras clave: tecnologo, tecnico, tech, technician, technology, tecnologia, technologist, electronic"
NaN,Progestion Chile,Antofagasta,Antofagasta,Mercaderista Full Time/  Reemplazo LM hasta a el 12.03 / Ruta Antofagasta.,"Importante empresa de alimentos congelados busca mercaderistas con experiencia comprobable para realizar ruta en Antofagasta.  Requisitos: Contar con experiencia en reposición en ruta en supermercados. Disponibilidad inmediata para ingresar a trabajar. Contar con calzado de seguridad.  Horario: LUN - MAR - JUE - VIE - SAB: 07:30 a 15:30 MIE:  07:30   a   14:30  Sueldo Líquido estimado $ 600.000 (proporcional a los días trabajados)  ¡Postula con nosotros!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 25 y 45 años Palabras clave: comerciante, merchandiser, merchant"
620000,People GO,Valparaíso,Valparaíso,"Asesor de ventas servicios de internet, televisión, móvil y equipos Valparaiso Full Time"," ¡Buscamos Ejecutivos de Servicio al Cliente y Ventas!  ¿Te apasiona el servicio al cliente y las ventas? ¡Únete a una de las principales empresas de telecomunicaciones del país!  Funciones:  Atender y asesorar a clientes en sucursal.  Gestionar ventas, fidelización y retención.  Resolver consultas y promover canales digitales.  Administrar pagos y recaudar en centros de atención.  Requisitos:  2 años de experiencia en atención al cliente y ventas (presencial o call center).  Ideal formación en Administración o similar.  Manejo de Microsoft Office intermedio.  Comunicación efectiva, compromiso y orientación al cliente.  Ofrecemos:  Sueldo base $500.000 + gratificación + bonos de colación y movilización + comisiones.  Bono asegurado los primeros 2 meses.  Capacitación en productos y servicios.  Jornada 44 horas semanales (horario retail).  Contrato a plazo fijo con renovación mensual.  ¡Postula ahora y crece con nosotros! .   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 2 años de experiencia Palabras clave: advisor, asesor, cambaceo, sales, web"
200000,Upcom DTS,Santiago Centro,Metropolitana,Ejecutivo(a) Call center Atención al cliente Honorario - Atención ciudadana,"Upcom DTS empresa Líder en el mercado del Contact center y creemos en lugares de trabajo inclusivos, donde las diferencias de las personas son respetadas, valoradas y atendidas para que todos nuestros colaboradores puedan desarrollar plenamente sus talentos.Nos encontramos en la búsqueda de Ejecutivos(as) de Atención al Cliente Call Center freelance, prestando servicios para importante empresa perteneciente al Rubro Ministerial, con las siguientes características    Condiciones de la oferta:     Se trabaja con Boleta de Honorarios emitida por el Ejecutivo. (Debe tener inicio de actividades en el Servicio de Impuestos Internos -SII).   El horario del servicio es de lunes a viernes de 08:00 a 18:00 horas, dentro de esta Franja Horaria total, se establecerán los turnos de apoyo requeridos a los Ejecutivos Freelance.   Renta de $3.500 Líquidos por hora efectiva de conexión   Empresa se encuentra ubicada en Santiago Centro, a pasos del metro Cal y Canto L2/L3.   Oportunidades de crecer dentro de la empresa.   Capacitación continua.  Condiciones del proceso:   Inducción con duración de 5 días días hábiles.   El último día se realiza una evaluación o prueba para certificar los conocimientos obtenidos en capacitación.   inducción no es pagada    Requisitos mínimos:   Experiencia en atención al cliente Call Center & Contact Center, de a lo menos 1 año, (Excluyente).   Manejo de Office e internet a nivel usuario   Habilidades de Comunicación Oral y Escrita.   Buena dicción, Ortografía y Redacción.   Orientación al cliente.   Residir en la Región Metropolitana    - Recuerda responder todas las preguntas de postulación y, si cumples con los requisitos, te contactaremos vía correo para invitarte a participar en una entrevista online.    ¡Te esperamos!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 18 y 50 años Palabras clave: callcenter, teleoperador, telefonista, telephonist, telefonico, care, costumer, cliente"
550000,Atcom,Lo Espejo,Metropolitana,Operador de Despacho - Lo Espejo,"Empresa dedicada a la venta de productos del mar está en búsqueda de operarios despachador para su planta ubicada en la comuna de lo espejo.  Requisitos: -Experiencia en despacho y control de bodega. -Manejo de Excel y Outlook. -Educación media completa.  Ideal: -Contar con estudios relacionados al área administrativa.  Funciones: - Coordinar y gestionar transporte de productos. - Mantenimiento de registro de las operaciones de transporte. - Manejo de inventarios. - Despacho de productos.  Horarios Turnos rotativos (día y noche): - Turno A.- Lunes de 08:00 a 16:00 hrs; martes a viernes de 05:00 a 14:00 hrs; sábado de 05:00 a 11:00 hrs.  - Turno B.- Lunes a Viernes de 21:00 a 07:00 hrs. 1 hora de colación.  (Los días cuyo ingreso es a las 05:00 horas, existirá movilización destinada para los trabajadores).  Condiciones laborales - Se entrega uniforme de trabajo. - Oportunidad de continuidad y estabilidad laboral.   - Renta de $550,000 líquidos. - Posibilidades de Horas extras. -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: operator, operario, operator"
NaN,Progestion Chile,Ñuñoa,Metropolitana,Analista de Inteligencia de Negocios,"Somos grupo Progestión, consultora con 27 años de servicios y Buscamos un Analista de Inteligencia de Negocio con al menos 1 año de experiencia en el análisis de datos y generación de reportes para apoyar la toma de decisiones estratégicas. El candidato ideal debe tener habilidades en Power BI, SQL, Inteligencia Artificial (IA) y Python, y ser capaz de transformar datos complejos en insights accionables.  Responsabilidades:  Desarrollar y mantener dashboards y reportes interactivos en Power BI para monitorear métricas clave de desempeño.  Extraer, limpiar y analizar datos utilizando SQL para apoyar iniciativas estratégicas.  Desarrollar scripts en Python para automatizar procesos de análisis de datos.  Colaborar con equipos de negocio para comprender necesidades analíticas y traducirlas en soluciones de BI.  Identificar oportunidades de mejora a través de análisis de datos y proponer recomendaciones basadas en insights.  Garantizar la calidad e integridad de los datos utilizados en los análisis.  Requisitos:  Experiencia mínima de 1 año en un rol similar de análisis de datos o inteligencia de negocio.  Dominio de Power BI para la creación de reportes y dashboards interactivos.  Habilidades avanzadas en SQL para consultas complejas y manipulación de datos.  Conocimientos en Inteligencia Artificial y experiencia en Machine Learning (deseable).  Experiencia en Python para análisis de datos y automatización de procesos.  Habilidades analíticas y capacidad para interpretar datos complejos y convertirlos en insights accionables.  Capacidad para trabajar en equipo y comunicarse eficazmente con stakeholders técnicos y no técnicos.  Educación:  Título universitario en Ingeniería en Sistemas, informatica, Ciencias de la Computación, Matemáticas, Estadística o campos relacionados.  Competencias Deseables:  Conocimiento en ETL (Extract, Transform, Load) y modelado de datos.  Experiencia en análisis predictivo y visualización avanzada de datos.  Familiaridad con metodologías ágiles y herramientas de colaboración (por ejemplo, Jira, Confluence).  Renta: $1.000.000  Beneficios:  Oportunidades de desarrollo profesional y capacitación continua.  Dia libre de cumpleaños  Pago de certificaciones (aprobadas)  Seguro complementario y mas.-Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T. 1 año de experiencia Palabras clave: analyst"
NaN,Global Talent,Las condes,Metropolitana,Asistente Back Office - Las Condes,"No pierdas esta oportunidad y postula para trabajar con una prestigiosa empresa de Consultoría.  Nos encontramos en búsqueda de un Asistente Administrativo para nuestro equipo Back Office.  Acerca del desafío: Ejecutar tareas diarias operacionales de los clientes siendo responsables y comprometidos con el cumplimiento de procesos en tiempo y calidad, manteniendo una actitud colaborativa con el equipo y la organización.  Funciones:  -Trámites varios en entidades financieras, municipales, tesorería, etc. -Cobranza, facturación portal Mi Pyme y otros software -Emisión de cheques, contabilizaciones varias -Archivo documentos ¿Qué nos encantaría de ti? -1 año de experiencia en las funciones descritas - Que cuentes con un título profesional en a fin con el cargo. (Excluyente) - Ganas de trabajar con nuestros importantes clientes. - Disponibilidad inmediata de integrarse por periodo de dos semanas con posibilidad de extensión. - Manejo de Office  ¿Qué te proponemos? Renta acorde a la vacante Trabajarás de manera presencial para una mejor adaptación y capacitación. El lugar físico de trabajo será en las oficinas ubicadas en la comuna Las Condes. Tarjeta de colación.  ¿Te interesa el desafío? ¡Postula con nosotros!.-Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Palabras clave: ayudante, asistente, auxiliar, aux, auxiliary, assistant, helper, aide, oficina"
NaN,Progestion Chile,El Bosque,Metropolitana,Reponedor Part time de días domingos y festivos / Ruta calera de tango y san bernardo,"Importante empresa de perfumería, aseo y limpieza necesita un reponedor part time de domingos y festivos para la comuna de san bernardo y calera de tango.  Locales a cubrir: LID252 - AV. CALERA DE TANGO S/N JUM843 - CAMINO LONGITUDINAL FUNDO LAS LILAS S/N  Jornada Laboral : DOM de 08:00 a 16:00 hrs  Renta : $110.000 líquido mensual estimado  Funciones: Ordenar, Reponer y ordenar stock de productos  Requisitos: Contar con experiencia en reposición ruta en supermercados. Contar con disponibilidad inmediata para trabajar  ¡¡ Postula con nosotros !!.   -Requerimientos- Educación mínima: Educación media C.H. / Técnica 1 año de experiencia Edad: entre 20 y 50 años Palabras clave: replenisher, surtidor"
550000,People GO,Santiago Centro,Metropolitana,Encargado de Capacitación en trabajos eléctricos,"People Go es una empresa al servicio de las personas, siempre comprometida con la diversidad e inclusión en sus infinitas formas, personalidades, culturas, etnias, origen, identidad, religión, edad, gustos y capacidades. En People Go actualmente buscamos profesionales para desempeñarse en el cargo de encargado de capacitación para unos de nuestros importantes clientes, Si eres una persona apasionada por el área y te interesa trabajar en un ambiente dinámico y profesional, ¡te invitamos a postularte! Las principales funciones serán: Encargado de Capacitación en trabajos eléctricos sobre todo en Brigadas de Perdida Trifásicas y Monofásicas.  Habilidades pedagógicas.  Análisis de circuitos y variables eléctricos.  Esquemas de medidas monofásicos y trifásicos.  Control de pérdidas en esquemas de medida monofásicos y trifásicos  Uso y manejo de instrumentos de medición (verificadores , analizadores de red).  Tecnología de medidores monofásicos, trifásicos, electromecánicos, electrónicos, híbridos.  Tarifas eléctricas.  Programación y manejo de softwares de medidores.  Normativas de empalmes eléctricos monofásicos y trifásicos.  Conexionado de medidores y equipos compactos de medida.  Trabajos y maniobras en redes de distribución de baja y media tensión.   Instalaciones con netbilling.   Office a nivel intermedio. Requisitos : Al menos 2 años de experiencia ( excluyente ) Contar con conocimientos en Brigadas de Perdida Trifasicas y Monofasicas Condiciones Laborales: Ubicación Estación Central Trabajo presencial 44 hrs semanales Horario: Lunes a Jueves de 08:00 a 18:30 horas y Viernes de 08:30 a 12:30 horas con 30 minutos de colación Tipo de contrato: Plazo fijo Renta acorde al mercado.   -Requerimientos- Educación mínima: Universitaria / I.P. / C.F.T.  años de experiencia Palabras clave: residente, encargado, supervisor, subgerente, responsable, coordinador, gestor, capitan, formacion, training, capacitacion, capacitador"
800000,Atcom,Santiago Centro,Metropolitana,Back Office Electricista - Santiago,"¡Somos ATCOM!  Empresa del rubro industrial se encuentra en búsqueda de un Back Office para el área de Ventas Técnicas.  ¿Qué requisitos debes cumplir para postular?  Formación técnica en Tec en Electricidad o similar. Experiencia en procesos administrativos de ventas, facturación y atención al cliente. Conocimientos en productos eléctricos de baja tensión. Manejo intermedio de ERP (ideal Softland) y Office.   ¿Qué funciones desempeñarás?  Atención a clientes subdistribuidores. Procesamiento y seguimiento de pedidos. Apoyo en la preparación de cotizaciones y notas de venta. Coordinación con áreas de logística, cobranzas y administración. Actualización de fichas técnicas y apoyo en campañas comerciales. Generación de reportes, control de documentación y atención postventa.  Las condiciones de esta oferta son:  Renta líquida: Renta líquida: $800.000 + bono por desempeño a evaluación desde el 1er mes de $150.000 líquidos (sujeto a cumplimiento de metas). Horario: Lunes a jueves de 8:00 a 17:30 horas y viernes de 8:00 a 16:00 horas (30 minutos de colación). Modalidad: 100% presencial. (Santiago/El Bosque). Contrato: Plazo fijo inicialmente.-Requerimientos- Educación mínima: Educación media C.H. / Técnica  años de experiencia Disponibilidad de viajar: Si Palabras clave: oficina, electrico, electrician, lineman, electricista"
