Oferta;Salario;Beneficios;Empresa;Descripcion;Ubicacion;Fecha_Publicacion;Fecha_Expiracion
"INGENIERO CLOUD SENIOR(AZURE) - HOMEOFFICE";"None";"";"Perceptual Consultora Ltda";"Importante empresa dedicada al apoyo de servicios alimenticios se encuentra en la búsqueda de un profesional Senior para el cargo de Ingeniero Cloud, quien estará a cargo de mejorar el rendimiento de las aplicaciones, contribuir a la reducción de costos y modernizar la estructura existente con apoyo del DBA, líder técnico y arquitecto.

Funciones:
• Realizar una evaluación exhaustiva de la infraestructura actual en Azure, identificando áreas de mejora en términos de costos y rendimiento.
• Desarrollar y ejecutar un roadmap de un año para la modernización de la infraestructura, incluyendo la containerización de aplicaciones, implementación de Docker y orquestación con Kubernetes.
• Identificar y proponer candidatos para la adopción de soluciones serverless, optimizando la eficiencia y escalabilidad de las aplicaciones.
• Gestionar y monitorear la operación diaria de la infraestructura, asegurando su disponibilidad, rendimiento y seguridad.
• Analizar y resolver incidentes relacionados con NGINX, IIS Pools y Apache Tomcat, incluyendo la revisión de logs y diagnóstico de problemas.
• Administrar el firewall Fortinet, implementando nuevos endpoints y gestionando conexiones VPN con otros firewalls para garantizar la seguridad y conectividad de la red.
• Apoyar en la implementación de prácticas DevOps, incluyendo la automatización de despliegues y la mejora de procesos de desarrollo y operaciones.

Requisitos:
• Experiencia comprobada en la gestión de infraestructuras en Microsoft Azure.
• Conocimientos avanzados en containerización con Docker y orquestación con Kubernetes.
• Experiencia en la implementación y gestión de soluciones serverless.
• Sólidos conocimientos en administración de servidores web y de aplicaciones, incluyendo NGINX, IIS y Apache Tomcat.
• Experiencia en la administración de firewalls Fortinet, incluyendo la implementación de nuevos endpoints y la gestión de conexiones VPN con otros firewalls.
• Conocimientos avanzados en sistemas operativos Windows y Linux.
• Experiencia en prácticas DevOps, incluyendo integración y entrega continua (CI/CD).
• Conocimientos en FinOps para la optimización de costos en la nube.

Educación y Experiencia:
• Título universitario en Ingeniería Informática, Ciencias de la Computación o campo relacionado.
• Mínimo 5 años de experiencia en roles similares.
• Certificaciones relevantes en Azure, Kubernetes, Docker y/o Fortinet son altamente deseables.

Competencias Deseables:
• Experiencia en la elaboración de roadmaps tecnológicos y planes de migración.
• Conocimiento de metodologías ágiles de desarrollo de software.
• Capacidad para liderar iniciativas de mejora continua y gestión del cambio.

Condiciones:
Teletrabajo.
Se entrega PC.";"Santiago";"2025-02-28 16:52:35";"2025-05-14 (en 51 días)"
"SOPORTE TÉCNICO TERRENO LAS CONDES";"None";"";"BC Tecnologia";"En BC Tecnología, nos especializamos en crear equipos de trabajo y células ágiles para las principales empresas de Chile con presencia global en sectores como Servicios Financieros, Tecnología, Banca, Educación, Seguros, Retail y Gobierno. Si eres un profesional proactivo, ordenado, con alta capacidad de análisis y síntesis, ¡te estamos buscando!
¿Qué buscamos?
Profesionales con capacidad de adaptación, aprendizaje rápido, enfoque en trabajo en equipo, y con habilidades para relacionarse de manera efectiva con clientes. Necesitamos personas comprometidas, responsables y con una excelente disposición para trabajar en el cargo de Soporte Técnico en Terreno.

Experiencia:
Al menos 2 a 3 años de experiencia en el cargo de Soporte Técnico en terreno.
Tecnologías, Herramientas y Experiencia Obligatoria:

Hardware:
Instalación, mantenimiento y configuración de equipos (PC, Notebook, periféricos).
Mantenimiento de salas multimedia (cambio, reposición e instalación de conexiones de dispositivos, configuración de Kramer o similar).
Instalación y mantenimiento de impresoras.

Software:
Instalación de software corporativo (S.O., Ofimática, Antivirus, Banner, VPN,QlikView, Legacys, Sist. Web, Active Directory).
Resolución de fallas en aplicaciones de escritorio y software para MAC (OSX).
Configuraciones:
Configuración de correo Exchange/Office365, correos en teléfonos corporativos y dispositivos móviles.
Configuración de perfiles de usuarios, carpetas compartidas y conexiones a internet.
Soporte en configuraciones de VPN y Conexiones de Videoconferencias.

Telefonía y Redes:
Instalación y mantenimiento de teléfonos análogos, digitales e IP.
Reparación de cableado VGA/HDMI y mantenimiento de proyectores.
Instalación de switches, reparación de rosetas de datos, y configuración de routers LAN/WIFI.
Hyflex:
Asistencia técnica y mantenimiento de equipos en salas Hyflex.
Instalación y configuración de equipos como PC, pantallas interactivas, cámaras Polycom y Logitech, StreamDeck y Kaptivo.
Capacitación a usuarios sobre el correcto uso del equipamiento en salas Hyflex.

Ofrecemos:
Contrato: Proyecto con posibilidad de contrato indefinido a partir del 3er mes.
Horario Laboral:
Turno 1: Lunes a Viernes 08:00 AM - 18:00 PM (con una hora de colación).
Turno 2: Lunes a Jueves 10:30 AM - 20:00 PM y Viernes 12:00 PM - 22:00 PM.
Turno 3: Miércoles a Domingo 08:00 AM - 18:00 PM.
Turno 4: Miércoles a Viernes 08:00 AM - 18:00 PM y Sábado y Domingo 08:00 AM - 20:00 PM.
¡Si estás listo para unirte a nuestro equipo y ser parte de proyectos desafiantes en diversas industrias, postúlate ahora!";"Santiago";"2025-02-28 17:15:56";"2025-05-14 (en 51 días)"
"ANALISTA QA AUTOMATIZADOR – PROYECTO DE 12 MESES.";"2200000";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"BC Tecnología";"Al menos 3 años de experiencia en:

• Experiencia comprobable en Selenium WebDriver con Python u otro lenguaje orientado a objetos.
• Conocimiento en testing de APIs (REST y OpenAPI).
• Manejo avanzado de Git y plataformas como GitHub, GitLab o Bitbucket.
• Conocimiento en bases de datos relacionales, especialmente PostgreSQL.
• Experiencia en la gestión de actividades con Jira.
• Habilidad comprobada para configurar pipelines de CI/CD.
• Trabajo Hibrido (Santiago Centro)
Interesados o referidos favor enviar cv actualizado a jgonzalez@bctecnologia.com indicando en asunto de e-mail cargo al cual postula (Analista QA Automatizador)";"Santiago";"2025-02-28 15:09:18";"2025-05-14 (en 51 días)"
"DESARROLLADOR FRONTEND SENIOR/HOME OFFICE";"None";"";"Perceptual Consultora Ltda";"Importante empresa dedicada al apoyo de servicios alimenticios se encuentra en la búsqueda de un profesional Senior para el cargo de Desarrollador Frontend con experiencia en React Native y React.Js, que nos ayude a seguir creciendo y evolucionando nuestros productos.

Funciones:
• Diseña la interfaz de usuario: con los wireframes o esquemas creados anteriormente.
• Optimización del rendimiento.
• Hacer uso de los frameworks solicitados para desarrollar diversos proyectos.

Requisitos del cargo:
• React Native: mínimo 3 años de experiencia.
• ReactJS: mínimo 2 años de experiencia en desarrollo web.
• JavaScript: mínimo 5 años de experiencia.
• TypeScript: mínimo 4 años de experiencia.
• Experiencia en la creación de módulos nativos en React Native.
• Experiencia en despliegue de aplicaciones en App Store y Google Play.
• Node.js: 1 año de experiencia en backend (deseable)

Condiciones:
Teletrabajo.
Se entrega PC.";"Santiago";"2025-02-28 16:54:41";"2025-05-14 (en 51 días)"
"COORDINADOR(A) DE SERVICIO TECNICO INFORMATICO";"850000";"";"Lion Operations";"Descripción

Se requiere persona ordenada, proactiva y responsable que realice labores de coordinación de trabajos de técnicos informáticos en terreno y en laboratorio.

Para trabajar en comuna de Pudahuel.

Requisito fundamental es tener experiencia de atención al cliente, conocimiento técnico en hardware de PC y de impresoras.

Entre sus funciones se encuentra:

- Recepcionar y procesar requerimientos de soporte técnico de clientes
- Contactar a clientes para coordinar asistencias técnicas en terreno según disponibilidad
- Gestionar asistencias técnicas con personal técnico interno y proveedores externos de servicio
- Realizar seguimiento de casos pendientes de resolver
- Gestionar procesos de garantía y reemplazo de equipos de clientes
- Gestionar con logística el envío de repuestos o equipos de reemplazo
- Realizar labores técnicas en laboratorio o en terreno según se requiera

Cualificación

Ideal titulo de carrera de área informática o afín

Habilidades y Funciones

- Recepcionar y procesar requerimientos de soporte técnico de clientes
- Contactar a clientes para coordinar asistencias técnicas en terreno según disponibilidad
- Gestionar asistencias técnicas con personal técnico interno y proveedores externos de servicio
- Realizar seguimiento de casos pendientes de resolver
- Gestionar procesos de garantía y reemplazo de equipos de clientes
- Gestionar con logística el envío de repuestos o equipos de reemplazo
- Realizar labores técnicas en laboratorio o en terreno según se requiera
- Mantener actualizados los reemplazos de equipos en los contratos";"Santiago";"2025-02-27 17:34:52";"2025-05-13 (en 50 días)"
"WORKFORCE MANAGEMENT -UKG CONSULTANT SENIOR";"None";"-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
";"Consultora de servicios en TI";"Workforce Management -UKG Consultant Senior

FUNCIONES:
Desarrollar aplicaciones, responsable de diseñar, crear y configurar aplicaciones para cumplir con los requisitos de los procesos empresariales.

REQUISITOS:
-Workforce Management, nivel avanzado.
-UKG
-Inglés Intermedio - Avanzado, atención de cliente extranjero.

CONDICIONES:
-Proyecto de 8 meses con posibilidades de extensión y/o Contrato indefinido.
-Horario: Lunes a viernes 44 horas semanales.
-Presencial en Corporativo en Las Condes, Santiago.";"Santiago";"2025-02-27 16:34:44";"2025-05-13 (en 50 días)"
"TECNICO TI";"None";"-Ten libertad para hacer tus trámites, el horario de entrada y salida es flexible.
-La empresa paga o copaga una cobertura de salud adicional.
-Organiza tu tiempo y trabaja algunos días en tu hogar.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"MG TECHNOLOGIES SPA";"COMPETENCIAS TÉCNICAS INDISPENSABLES:

Conocimientos Técnicos (Nivel 1):
* Dominio avanzado en sistemas operativos Windows (10/11) y Linux (Ubuntu/CentOS)
* Instalación, configuración y solución de problemas con drivers y firmware
* Experiencia comprobable en diagnóstico y reparación de hardware (CPU, RAM, discos, placas madre)
* Conocimientos en redes TCP/IP, configuración de switches/routers y troubleshooting
* Manejo de Active Directory: creación/administración de usuarios, políticas de grupo y seguridad
* Soporte Office 365, Exchange y herramientas colaborativas
* Conocimientos en virtualización básica (VMware, VirtualBox)

Conocimientos Técnicos Adicionales (Nivel 2):
* Administración de servidores Windows Server 2019/2022
* Configuración de servicios DNS, DHCP y WDS
* Implementación y administración de políticas de seguridad
* Experiencia en PowerShell y scripting básico para automatización
* Conocimientos en sistemas de backup y recuperación de datos
* Configuración de VPN y firewall
* Virtualización avanzada con Hyper-V y VMware ESXi
* Monitoreo de sistemas con herramientas PRTG/Nagios

Certificaciones Valoradas (No excluyente)
* CompTIA A+/Network+
* Microsoft 365 Certified: Modern Desktop Administrator
* Microsoft Certified: Windows Server
* ITIL Foundations

Aspectos Técnicos Evaluables:
* Capacidad para diagnosticar y resolver problemas de hardware/software
* Habilidades para la gestión de incidentes según metodología ITIL
* Conocimientos prácticos en ciberseguridad y protección de datos
* Experiencia con herramientas de ticketing (ServiceNow, JIRA Service Desk)
* Manejo de herramientas de diagnóstico y monitoreo
* Conocimientos en implementación de soluciones de endpoint security";"Santiago";"2025-02-27 17:12:07";"2025-05-13 (en 50 días)"
"DESARROLLADOR SALESFORCE";"None";"";"Kibernum Chile";"DESCRIPCIÓN DEL PUESTO

¡Únete a Kibernum Chile como Desarrollador Salesforce!

Si te apasiona Salesforce y quieres ser parte de un proyecto innovador de habilitación de Data Cloud, ¡te estamos buscando!

¿Qué harás? Traducir necesidades del negocio en desarrollos dentro del ecosistema Salesforce. Integrar Data Cloud, Marketing Cloud y CRM. Gestionar migraciones de datos y grandes volúmenes de información. Mantener y desarrollar nuevas funcionalidades en Salesforce Sales/Service y Marketing Cloud. Implementar integraciones con otros aplicativos.

REQUISITOS

Requisitos clave Mínimo 3 años de experiencia en desarrollo Salesforce. Experiencia en CRM, Marketing Cloud y Data Cloud. Experiencia en integraciones y personalizaciones avanzadas. Manejo de metodologías ágiles. Plus: Expertise en Data Cloud.

BENEFICIOS

Modalidad híbrida: 1 día presencial a la semana (si vives en regiones, puedes ser 100% remoto). Contrato: Inicialmente plazo fijo de 3 meses con posibilidad de continuidad según desempeño y presupuesto.

Si cumples con el perfil, envía tu CV actualizado, pretensiones salariales y disponibilidad a gloria.caro@kibernum.com

#Salesforce #DataCloud #DesarrolloTI #Kibernum #Hiring";"Santiago";"2025-02-27 18:42:27";"2025-05-13 (en 50 días)"
"INGENIERO INFORMÁTICO DE SOPORTE A CLIENTES";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-Paga o copaga un seguro dental.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Crossnet SA";"Quienes somos

CrossNet es una empresa chilena con operación en 5 países en Latinoamérica, cuya misión es ayudar a sus clientes a solucionar problemas en temáticas de atención y experiencia de clientes a través de la tecnología e innovación. Nuestro foco está en las personas y las capacidades humanas, que puedan simpatizar con nuestros clientes, apostando por relaciones a largo plazo basadas en el valor y contribución individual.
Actualmente estamos certificados por el GPTW como un gran lugar para trabajar y este año obtuvimos el 3° lugar entre las mejores empresas para trabajar en Chile y además estuvimos dentro de las dos empresas chilenas premiadas como las mejores empresas para trabajar en Latam.
Somos Experiencia, pasión e innovación en la nube.

Búsqueda

En CROSSNET, nos encontramos en la búsqueda de un/a INGENIERO/A DE SOPORTE A CLIENTES

Misión del Cargo
Atender llamadas telefónicas y solicitudes de los clientes a través de los canales de atención
tales como: correo, chat, WhatsApp, RRSS, entre otros, según protocolos o modelo de atención
definidos, con el fin de contribuir al cumplimiento de los acuerdos de niveles de servicio (ANS)
y a los niveles de productividad definidos.

Funciones Del Cargo
•Registrar las solicitudes de los clientes, en el sistema de ticketing de Crossnet aportando toda
la evidencia necesaria para su análisis y diagnóstico.
•Mantener actualizada -en la plataforma- la información relacionada con la apertura y cierre
de ticket.
•Mantener informado al cliente de las gestiones realizadas en forma periódica, según la
gravedad del caso.
•Mantenerse informado y actualizado en los contenidos impartidos en el College y Genesys, así
como en la evolución de las tecnologías que soportan el negocio.
•Capacitar a los clientes sobre el uso y operación de los servicios y aplicaciones que ofrece
Crossnet.
•Apoyar al área de proyectos en la implementación de productos y medición QA.


Conocimientos técnicos
•Conocimientos de atención telefónica y protocolos de atención a clientes, nivel general.
•Certificación ITIL
•Aplicación administrativa de ticketing, nivel medio
•Sistema operativo Windows, nivel medio.
•Base de datos, nivel medio.
•Sistema operativo Linux, nivel general
•Telefonía y redes, nivel general
•Aplicaciones de Contact Center gestionado, nivel general
•Aplicación Genesys WDE, nivel medio

Requisitos
•Titulo Profesional de: Ingeniería o Licenciatura en Ciencias de la Informática, redes, Telefonía, computación y/o programación.
•Al menos 2 años de experiencia demostrable en cargo similares.
•Disponibilidad para trabajar de manera hibrida en nuestras oficinas en Las Condes, Santiago.


Si estas interesado/a en esta posición, te invitamos a postular enviando tu cv a clorca@crossnet.cl";"Santiago";"2025-02-27 11:08:11";"2025-05-13 (en 50 días)"
"TÉCNICO EN TERRENO";"7000";"";"Nexsis Ltda";"Es necesario contar con una persona para reemplazo para instalación y entrega de documentos Bancarios";"Santiago";"2025-02-27 15:05:47";"2025-05-13 (en 50 días)"
"DESARROLLADOR ORACLE PL/SQL – PROYECTO DE 12 MESES.";"2300000";"-La empresa paga o copaga una cobertura de salud adicional.
-No es necesario ir a la oficina, puedes trabajar completamente desde tu casa.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-La empresa incluye casino para la alimentación
";"BC Tecnología";"Al menos 4 años de experiencia en:

• Desarrollador Oracle PL/SQL o en un rol similar.
• Excelente comprensión de la programación en PL/SQL.
• Habilidades de pensamiento crítico y resolución de problemas.
• Buenas habilidades de comunicación interpersonal y toma de decisiones analíticas.
• Persistencia y paciencia, junto con una gran atención al detalle.
• Buenas habilidades de comunicación verbal y escrita.
• Historial comprobado en la entrega de proyectos tecnológicos.
• Experiencia en la documentación del diseño de la solución.
• Trabajo 100% remoto.
• Ingles Intermedio
Interesados o referidos favor enviar cv actualizado a jgonzalez@bctecnologia.com indicando en asunto de e-mail cargo al cual postula (Desarrollador Oracle PL/SQL)";"Santiago";"2025-02-27 11:27:17";"2025-05-13 (en 50 días)"
"TÉCNICOS EN CONFIGURACIÓN";"None";"";"Confidencial";"Importante entidad dentro del rubro financiero, requiere incorporar a su equipo de trabajo a Técnicos en configuración. A partir de Marzo con extensión inicial de 1 mes.

FUNCIONES:
Revisión de equipos POS:
Funciones:
Check de hardware y software del dispositivo
Cierre de ticket en sistema Backoffice
Carga y formateo de sistema operativo
Perfil del cargo:
Preparación de equipos POS:
Carga de sistema operativo en POS
Carga de firmware en dispositivos POS
Carga de aplicativos según canales para Android
Remozado de dispositivos POS

SE OFRECE
-Contrato de trabajo
-Renta líquida mensual $800.000


Jornada laboral: lunes a jueves de 08:00 a 18:00 hrs y viernes de 08:00 a 17:00 hrs

REQUISITOS


-Familiaridad con los estándares de seguridad de la industria, como PCI DSS, y comprensión de las mejores prácticas en la seguridad de los
datos y transacciones.
Técnico de nivel medio en telecomunicaciones o electricidad sin experiencia Y/O ser estudiante de la carrera
-Experiencia laboral previa en roles técnicos, preferiblemente en
configuración y mantenimiento de POS o en áreas relacionadas con
tecnología y sistemas de pago.

Interesados en la oferta, favor enviar currículum a francisco.farias@xinerlink.cl";"Santiago";"2025-02-27 01:29:16";"2025-05-13 (en 50 días)"
"ADMINISTRADOR DE SISTEMAS SEMI SENIOR - GCP";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-¡La salud es lo más importante! La empresa paga el seguro de vida
-Paga o copaga un seguro dental.
-El día de tu cumpleaños es canjeable por un día completo de vacaciones.
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"Smartjob";"En Smartjob, estamos buscando un Administrador de Sistemas Semi Senior con experiencia en infraestructura en la nube GCP para unirse a un equipo innovador y colaborar en la gestión de entornos cloud. Si disfrutas de los desafíos tecnológicos y quieres ser parte de un equipo dinámico, ¡te estamos buscando!


¿Qué harás en este rol?
Administración de infraestructura en la nube (GCP, AWS o Azure).
Orquestación de contenedores con Kubernetes, Helm, Istio, Cloud Run.
Gestión de máquinas virtuales en Google Compute Engine (GCE), AWS EC2 o Azure VMs.
Administración de bases de datos en la nube (CloudSQL, Firestore, BigQuery).
Implementación de Infraestructura como Código (IaC) con Terraform o CloudFormation.
Seguridad en la nube (IAM, WAF, cumplimiento normativo SOC 2, ISO 27001, GDPR).
Configuración de redes y conectividad en entornos híbridos.
Automatización de procesos con Python, Bash o PowerShell.
Implementación de pipelines CI/CD con GitHub Actions, GitLab CI/CD, Jenkins.



Lo que buscamos en ti
Experiencia: 3+ años en administración de sistemas en la nube.
Conocimiento en DevOps: CI/CD, monitoreo, automatización con scripting.
Experiencia en contenedores: Docker y Kubernetes.
Habilidad para optimizar costos y mejorar arquitecturas cloud.
Deseable: Experiencia en migración a la nube y cumplimiento normativo.


Beneficios:
Contrato indefinido con estabilidad laboral.
Modalidad híbrida para un mejor balance vida-trabajo.
Seguro de salud complementario
Licencias de capacitación
Aguinaldo de navidad y fiestas patrias";"Santiago";"2025-02-27 11:16:06";"2025-05-13 (en 50 días)"
"INGENIERO CONTROL GESTIÓN - SAN BERNARDO";"1600000";"-La empresa provee un bus de acercamiento
-La empresa incluye casino para la alimentación
";"Grupoexpro";"GrupoExpro junto con importante cliente está en la búsqueda de un Ingeniero de Control de Gestión Reemplazo para unirse a nuestro equipo. Si eres un profesional proactivo, con experiencia en planificación, control de gestión y manejo de herramientas de análisis de datos, ¡te invitamos a postularte!
Propósito del cargo: El objetivo principal es analizar y revisar la información proveniente de los distintos sistemas de Control de Gestión, proponer mejoras en los procesos del área y asegurar la entrega de información precisa y de calidad según los estándares definidos.
Principales responsabilidades:
• Analizar y asesorar sobre hallazgos o desviaciones en control de gestión (costos, estados de resultados) según los requerimientos de las áreas.
• Evaluar y proponer proyectos de automatización de procesos.
• Ejecutar la actualización de información y mejoras en los sistemas de inteligencia de negocio.
• Realizar y presentar informes relacionados con valores presupuestados y de años anteriores.
• Brindar apoyo en consultas técnicas sobre contenido, sistemas y metodologías aplicadas.
Requisitos:
• Formación Académica: Ingeniero Civil, Ingeniero Industrial o Ingeniero de Control de Gestión.
• Experiencia: Mínimo 4 años en áreas de planificación y/o control de gestión.
• Conocimientos técnicos:
o SAP R3
o Manejo avanzado de Excel
o Manejo avanzado de Power BI
o Conexión de datos entre SQL Server y Power BI
Jornada Laboral: De lunes a jueves, de 08:00 a 17:30 horas y viernes salida a las 14:00 horas.
La postulación se encuentra abierta para que puedan postular personas con discapacidad o bajo el marco de la ley 21.015. Si requieres algún ajuste razonable para participar en el proceso de selección, avísanos para facilitar tu participación en igualdad de oportunidades (Ley 20.422).
¡Si estás listo para formar parte de un equipo que busca la mejora continua y la eficiencia, postula ahora!";"Santiago";"2025-02-27 16:22:27";"2025-05-13 (en 50 días)"
"ACCOUNT MANAGER – OUTSOURCING IT";"None";"-La empresa paga o copaga una cobertura de salud adicional.
-La empresa esta adscrita a la mutual de seguridad
-La empresa esta adscrita a una caja de compensación
-Se trabaja en modalidad híbrida, puedes trabajar desde tu casa y en oficina.
";"CONFIDENCIAL";"NOMBRE CARGO: Account Manager – Outsourcing IT
Ubicación: Chile (modalidad híbrida – oficinas en Vitacura)
Tipo de contrato: Plazo fijo, y luego indefinido (o respetando contrato actual si ya es indefinido)

Sobre la empresa:

Somos una importante consultora multinacional de tecnología con presencia en Latinoamérica. Buscamos un Account Manager con sólida experiencia en venta de servicios de Outsourcing TI, que quiera sumarse a nuestro equipo en Chile.

Responsabilidades:
• Gestionar y fortalecer la relación con clientes actuales y potenciales.
• Prospectar y desarrollar nuevas oportunidades de negocio.
• Presentar el portafolio de servicios de la compañía a clientes actuales y nuevos prospectos.
• Participar en eventos, campañas y programas internos/externos para promover productos y servicios.
• Levantar requerimientos y generar propuestas comerciales en colaboración con áreas operativas y financieras.
• Reportar avances en el proceso de ventas al Gerente de Clientes o Client Manager.
• Registrar y actualizar oportunidades en el sistema interno.
• Presentar y dar seguimiento a cotizaciones semanales.
• Coordinar reuniones de inicio de servicio (Kick Off) con clientes y áreas involucradas.
• Facilitar la comunicación entre los equipos de facturación/cobranza y los contactos del cliente.
• Mantenerse actualizado en tendencias tecnológicas, realizando capacitaciones y certificaciones según sea necesario.
• Realizar desplazamientos entre sedes de la empresa y/o clientes según necesidades operativas.
Requisitos:
• Experiencia comprobable en venta de Outsourcing TI y gestión de cuentas.
• Habilidades comerciales y capacidad para identificar nuevas oportunidades de negocio.
• Conocimiento en estrategias financieras aplicadas a ventas.
• Fuerte orientación a resultados y cumplimiento de metas comerciales.
• Disponibilidad para trabajar en modalidad híbrida (oficinas en Vitacura).
¿Te gustaría asumir este desafío? ¡Postula con nosotros y sé parte de nuestro equipo!";"Santiago";"2025-02-27 18:15:05";"2025-05-13 (en 50 días)"
"RELATOR REUF";"None";"";"ESCUELA DE CAPACITACION DE SERVICIOS LIMITADA";"NECESITAMOS RELATORES BOOTCAMP DE LAS SIGUIENTES ESPECIALIDADES:
- DESARRROLLO DE APLICACIONES FULLSTACK PYTHON
- DESARROLLO DE APLICACIONES FULLSTACK JAVASCRIP
- DESARROLLO DE APLICACIONES MOVILES ANDROID
- ESPECIALIZACION EN AUTOMATIZACION DE PRUEBAS
- FUNDAMENTOS DE ARQUITECTURA CLOUD
- FUNDAMENTOS EN INGENIERIA DE DATOS

CON CERTIFICACION Y MODULOS APROBADOS EN REUF PARA CURSOS E-LEARNING";"Santiago";"2025-02-27 16:04:27";"2025-05-13 (en 50 días)"
"TÉCNICOS EN CONFIGURACIÓN Y MANTENIMIENTO POS CON EXPERIENCIA, LAS CONDES";"None";"";"Xinerlink";"Importante entidad dentro del rubro financiero, requiere incorporar a su equipo de trabajo a Técnicos en configuración con experiencia por proyecto.

FUNCIONES:
Revisión de equipos POS:
Check de hardware y software del dispositivo
Cierre de ticket en sistema Backoffice
Carga y formateo de sistema operativo
Perfil del cargo:
Preparación de equipos POS:
Carga de sistema operativo en POS
Carga de firmware en dispositivos POS
Carga de aplicativos según canales para Android
Remozado de dispositivos POS

SE OFRECE
-Contrato de trabajo
-Renta líquida mensual $800.000


Jornada laboral: lunes a jueves de 08:00 a 18:00 hrs y viernes de 08:00 a 17:00 hrs

REQUISITOS
-Familiaridad con los estándares de seguridad de la industria, como PCI DSS, y comprensión de las mejores prácticas en la seguridad de los
datos y transacciones.
Técnico de nivel medio en telecomunicaciones o electricidad sin experiencia Y/O ser estudiante de la carrera
-Experiencia laboral previa en roles técnicos, preferiblemente en configuración y mantenimiento de POS o en áreas relacionadas con
tecnología y sistemas de pago.";"Santiago";"2025-02-27 08:05:41";"2025-05-13 (en 50 días)"
"AUDITOR TI";"None";"";"Clínica de Salud Privada";"Esta oferta se enmarca bajo la Ley N.º 21.015 que incentiva la inclusión de personas con discapacidad al mundo laboral.
Reconocida Clínica privada ubicada en la comuna de Providencia se encuentra en búsqueda de un/a Auditor TI para cargo vacante, quien deberá ejecutar el plan de auditoría alineado con los objetivos del negocio, así como también, identificar posibles riesgos de TI en los sistemas asociados a las áreas críticas del negocio.

Para esto deberá;
- Proponer posibles procesos y sistemas a ser incluidos en el Plan Anual de Auditoría Interna TI.
- Ejecutar el Plan Anual de Auditoría Interna TI, manteniendo una comunicación activa y oportuna con el Jefe de Auditoría TI.
- Llevar a cabo la ejecución de las auditorías de control interno en el tiempo definido y documentar los papeles de trabajo con altos estándares de calidad.
- Identificar procesos de negocios y la infraestructura tecnológica que lo soporta.
- Verificar el cumplimiento de las normas, leyes, procedimientos y reglamentos respecto a los sistemas de información existentes, con la finalidad de velar por el cumplimiento de las normativas.
- Realizar seguimiento a debilidades de control interno, velando por la correcta y oportuna implementación de las medidas preventivas y correctivas originadas de los informes de Auditoria.

¿Qué esperamos de ti?
- Título universitario de Ingeniería en Informática, en Sistemas, o afín.
- Experiencia de 1 año en cargos similares.
- Manejo Excel avanzado.
- Ingles Intermedio.

¿Qué ofrecemos?
- Contrato directo con la clínica
- Reajuste de Renta por IPC
- Uniforme corporativo y credencial
- Aguinaldos
- Seguro complementario de salud
- Contrato con Casino de la Clínica

Horario: Jornada hibrida:
Lunes y Jueves remoto, desde 09:00 a 18:30 hrs.
Martes y miércoles presencial, desde 09:00 a 17:30 hrs.
Viernes remoto, desde 09:00 a 14:30 hrs.

Anímate a postular!!";"Santiago";"2025-02-27 12:28:39";"2025-05-13 (en 50 días)"
